                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2801,                0.89329,                 1.8547,                 0.7556,                0.57692,                0.63871,                0.25975,                 2.2557,                 1.3806,                  2.948,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2872,                0.88045,                 1.8697,                0.71926,                0.67308,                0.72059,                 0.3086,                 2.0606,                 1.3468,                 2.6856,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2288,                0.86018,                  1.838,                0.87369,                0.61538,                0.76577,                0.33388,                 2.0468,                 1.3403,                 2.7074,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2688,                0.84934,                 1.8576,                0.76063,                0.63462,                0.75166,                0.30973,                 2.1298,                 1.2979,                 2.8077,               0.000812,               0.000812,               0.000812
                     62,                  1.237,                 0.7992,                 1.8036,                0.80925,                0.61538,                0.77053,                0.31777,                 2.0991,                 1.3407,                 2.8121,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.291,                0.81697,                 1.8579,                0.84194,                0.71154,                0.81897,                0.31598,                 2.0873,                 1.3067,                 2.7789,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1573,                0.76906,                 1.7478,                0.78009,                0.68227,                0.69956,                0.27647,                 2.1286,                 1.4417,                 2.8043,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1451,                0.77615,                 1.7156,                0.74035,                0.63462,                0.69567,                0.28946,                 2.0867,                 1.4651,                 2.7777,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.225,                0.77787,                 1.8119,                0.63242,                0.66181,                0.68478,                0.29955,                 2.1154,                 1.3583,                 2.8426,               0.000713,               0.000713,               0.000713
                     67,                 1.1734,                 0.7767,                 1.7727,                0.65447,                0.67308,                0.70715,                0.31308,                 2.0838,                 1.3571,                  2.794,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1118,                0.73389,                 1.6908,                0.68561,                0.59615,                0.68275,                0.26866,                 2.1796,                 1.5147,                 2.8417,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1522,                0.74354,                 1.7193,                0.72557,                   0.75,                0.77802,                0.30555,                 2.1069,                 1.3366,                 2.7541,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0921,                0.71405,                 1.6552,                0.70278,                0.63462,                0.69209,                 0.2726,                  2.161,                 1.4061,                 2.8325,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.077,                0.71556,                 1.6796,                0.72248,                0.65089,                0.69563,                0.31283,                 2.1008,                 1.3055,                 2.7758,               0.000614,               0.000614,               0.000614
                     72,                 1.0699,                0.68636,                 1.6455,                0.78655,                0.69231,                0.73452,                0.35131,                 2.0082,                 1.3421,                 2.7101,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1384,                0.68828,                   1.72,                0.69423,                0.69231,                0.72696,                0.30508,                 2.2015,                 1.3176,                 2.8094,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0904,                0.66895,                 1.6568,                0.69525,                0.61538,                0.66052,                0.27459,                 2.1896,                 1.4355,                  2.916,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0347,                0.63446,                 1.6295,                0.85034,                0.65385,                0.74124,                0.31205,                 2.1528,                  1.248,                 2.8589,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0938,                0.67728,                 1.6373,                0.73975,                0.69231,                0.70999,                0.30304,                 2.2115,                 1.3433,                 2.9583,               0.000515,               0.000515,               0.000515
                     77,                0.98001,                 0.6211,                  1.542,                0.75259,                0.58509,                0.69421,                0.29965,                 2.2058,                 1.4062,                 2.9277,              0.0004952,              0.0004952,              0.0004952
                     78,                0.98594,                0.62229,                 1.5826,                0.74328,                0.69231,                0.73065,                0.31595,                 2.1408,                 1.4072,                 2.9127,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0092,                0.63634,                 1.5802,                0.70003,                0.67308,                0.70879,                0.31528,                 2.0945,                 1.4522,                 2.8571,              0.0004556,              0.0004556,              0.0004556
                     80,                0.94537,                0.61059,                 1.5481,                0.79232,                0.78846,                0.76592,                0.29803,                 2.1721,                 1.4851,                 2.9417,              0.0004358,              0.0004358,              0.0004358
                     81,                0.98695,                0.65214,                 1.5634,                0.75454,                0.69231,                0.71172,                0.30085,                 2.1494,                 1.4076,                 3.0194,               0.000416,               0.000416,               0.000416
                     82,                0.99262,                0.62542,                 1.5975,                0.77959,                0.76923,                  0.758,                0.34353,                 2.0604,                 1.3249,                 2.8759,              0.0003962,              0.0003962,              0.0003962
                     83,                0.93085,                0.62207,                 1.5154,                0.75641,                0.78846,                0.76817,                0.32632,                 2.0781,                 1.4174,                  2.901,              0.0003764,              0.0003764,              0.0003764
                     84,                0.91999,                0.60514,                 1.5106,                 0.6591,                0.71154,                0.70692,                0.28235,                 2.1169,                 1.3527,                  2.982,              0.0003566,              0.0003566,              0.0003566
                     85,                0.93313,                0.58186,                 1.5426,                0.82235,                0.73077,                0.78296,                0.32525,                 2.0537,                 1.3477,                 2.9025,              0.0003368,              0.0003368,              0.0003368
                     86,                0.88147,                0.55552,                 1.4592,                0.74795,                0.74194,                 0.7701,                0.33402,                 2.0974,                 1.2355,                 2.8855,               0.000317,               0.000317,               0.000317
                     87,                0.87153,                0.56018,                 1.4499,                0.81753,                0.71154,                0.78137,                0.33713,                  2.073,                 1.2203,                 2.9259,              0.0002972,              0.0002972,              0.0002972
                     88,                0.84838,                0.55246,                 1.4465,                0.83301,                0.69231,                0.77467,                0.31001,                 2.1764,                 1.2281,                 3.0688,              0.0002774,              0.0002774,              0.0002774
                     89,                0.87023,                0.52604,                 1.4527,                 0.7819,                0.67308,                0.78165,                 0.3043,                 2.1883,                 1.2393,                 3.0789,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83217,                0.52358,                 1.4351,                0.72514,                0.73077,                0.78862,                0.32079,                 2.1299,                 1.2144,                 2.9756,              0.0002378,              0.0002378,              0.0002378
                     91,                0.83775,                0.52666,                 1.4054,                0.79038,                 0.7252,                0.78338,                0.32594,                 2.1043,                 1.2492,                 2.9013,               0.000218,               0.000218,               0.000218
                     92,                0.83392,                0.51307,                 1.3893,                0.86577,                0.69231,                0.79151,                0.33603,                 2.1288,                 1.2675,                 2.9374,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.7891,                 0.5111,                 1.3786,                0.78568,                0.71154,                0.77661,                0.32076,                 2.1242,                 1.3381,                 2.9277,              0.0001784,              0.0001784,              0.0001784
                     94,                0.79388,                0.51681,                  1.351,                0.80033,                0.69231,                0.79088,                0.33112,                 2.1522,                 1.3072,                 3.0228,              0.0001586,              0.0001586,              0.0001586
                     95,                0.81906,                0.50225,                 1.3711,                0.80191,                0.71154,                0.77207,                0.32884,                 2.1413,                 1.2825,                 3.0241,              0.0001388,              0.0001388,              0.0001388
                     96,                0.77766,                0.48917,                 1.3535,                0.77596,                0.71154,                0.77636,                0.32981,                 2.1129,                 1.3173,                 2.9903,               0.000119,               0.000119,               0.000119
                     97,                0.77407,                 0.4986,                   1.37,                0.83485,                0.68058,                0.78647,                0.32696,                 2.1418,                 1.3132,                 3.0071,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.77774,                0.48483,                 1.3381,                0.78604,                0.70657,                0.77308,                0.31462,                 2.1561,                 1.3057,                 3.0338,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.74276,                0.47662,                 1.3336,                 0.7086,                0.71154,                0.74343,                0.30901,                 2.1841,                 1.3017,                  3.087,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.72935,                0.48234,                 1.3086,                0.78644,                 0.6374,                0.73889,                0.30935,                 2.1631,                 1.3241,                 3.0175,               3.98e-05,               3.98e-05,               3.98e-05
