                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2695,                0.91261,                 1.8434,                0.66923,                0.55769,                0.62223,                0.26273,                  2.333,                 1.5232,                 3.1111,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2417,                0.88334,                 1.8555,                0.87006,                0.55769,                0.71733,                0.29768,                 2.3492,                 1.3857,                 3.0297,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2879,                0.87114,                 1.8894,                 0.7918,                0.51923,                0.67627,                0.28739,                 2.2255,                 1.4439,                 2.8815,               0.000812,               0.000812,               0.000812
                     62,                  1.239,                0.81462,                 1.7994,                 0.7062,                0.59615,                0.66741,                 0.2745,                 2.3486,                  1.412,                 3.1577,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2703,                0.80296,                  1.849,                0.64431,                0.69676,                0.70629,                0.26529,                 2.4108,                 1.3399,                 3.1369,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1846,                0.82324,                 1.7437,                0.66563,                0.63462,                0.63551,                0.25875,                 2.2959,                 1.4634,                 2.9888,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1574,                0.77223,                 1.7314,                0.65777,                0.59615,                 0.6366,                0.25646,                 2.3435,                 1.6129,                 3.0549,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.221,                0.82906,                 1.8221,                0.86014,                0.61538,                0.71868,                0.27629,                 2.3275,                 1.4303,                 3.0429,               0.000713,               0.000713,               0.000713
                     67,                 1.1993,                0.80796,                 1.7794,                0.70185,                0.57692,                0.65018,                0.25887,                 2.2998,                  1.317,                 2.9871,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1434,                0.77458,                 1.7062,                0.62747,                0.67308,                0.71674,                0.29394,                 2.2648,                 1.3528,                 2.9586,              0.0006734,              0.0006734,              0.0006734
